market,region,source_registry,instrument_role,symbol,product,ice_product_id,ice_product_url,product_name,ice_catalog_status,metadata_status,review_status
Henry Hub,louisiana,gas_next_day,cash_physical,XGF D1-IPG,,1156,https://www.ice.com/products/1156,Henry Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Transco Station 85,southeast,gas_next_day,cash_physical,XVA D1-IPG,,3306646,https://www.ice.com/products/3306646,Transco Station 85 (Zone 4) Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
TGP-500L,southeast,gas_next_day,cash_physical,XLM D1-IPG,,1318,https://www.ice.com/products/1318,TGP 500L Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
FGT Zone 3,southeast,gas_next_day,cash_physical,YHV D1-IPG,,69138045,https://www.ice.com/products/69138045,Florida Gas Zone 3 Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Columbia Gulf (Mainline),southeast,gas_next_day,cash_physical,XLA D1-IPG,,1306,https://www.ice.com/products/1306,CG Mainline Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
ANR SE-T,southeast,gas_next_day,cash_physical,XTA D1-IPG,,3306641,https://www.ice.com/products/3306641,ANR SE (Louisiana) Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Pine Prairie,southeast,gas_next_day,cash_physical,YV7 D1-IPG,,72764821,https://www.ice.com/products/72764821,Pine Prairie Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Tetco WLA,southeast,gas_next_day,cash_physical,XVM D1-IPG,,3306648,https://www.ice.com/products/3306648,TETCO WLA Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Houston Ship Channel,east_texas,gas_next_day,cash_physical,XYZ D1-IPG,,3306663,https://www.ice.com/products/3306663,HSC HPL Pool Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
Waha,east_texas,gas_next_day,cash_physical,XT6 D1-IPG,,34598274,https://www.ice.com/products/34598274,Waha Physical Fixed Price Spot,verified,ice_product_url_verified,verified_cash
